system,policy_count,run_id,parse_ms,compile_ms,swap_ms,first_decision_ms,post_parse_ms,total_ms,rss_kb
uhap,10,0,1.714952,0.153596,0.00036,0.000872,0.15482800000000002,1.86978,52
uhap,10,1,1.74027,0.148276,0.00031,0.000872,0.149458,1.889728,52
uhap,10,2,1.751901,0.153856,0.000361,0.000872,0.155089,1.90699,52
uhap,10,3,1.736031,0.14502,0.000351,0.000831,0.146202,1.882233,52
uhap,10,4,1.719981,0.153145,0.000351,0.000832,0.154328,1.874309,52
uhap,10,5,1.896319,0.191647,0.000561,0.001242,0.19345,2.089769,52
uhap,10,6,1.571996,0.152223,0.000271,0.000882,0.15337599999999998,1.725372,52
uhap,10,7,1.581303,0.146282,0.000331,0.000771,0.147384,1.7286869999999999,52
uhap,10,8,1.516733,0.135602,0.000251,0.000801,0.136654,1.6533870000000002,52
uhap,10,9,1.496486,0.127477,0.000301,0.000831,0.128609,1.625095,52
uhap,10,10,1.496505,0.127237,0.000271,0.000801,0.12830899999999998,1.624814,52
uhap,10,11,1.588267,0.140862,0.00027,0.000782,0.14191399999999998,1.730181,52
uhap,10,12,1.507756,0.129932,0.000331,0.000801,0.13106399999999999,1.6388200000000002,52
uhap,10,13,1.503749,0.127979,0.00024,0.000761,0.12898,1.632729,52
uhap,10,14,1.635244,0.140551,0.000341,0.000821,0.141713,1.776957,52
uhap,10,15,1.520951,0.132025,0.000321,0.000751,0.133097,1.654048,52
uhap,10,16,1.943337,0.192458,0.000662,0.001753,0.194873,2.13821,52
uhap,10,17,1.497016,0.15573,0.00031,0.000882,0.156922,1.653938,52
uhap,10,18,1.577817,0.140872,0.000491,0.000832,0.142195,1.720012,52
uhap,10,19,1.583407,0.136614,0.000341,0.000831,0.13778600000000002,1.721193,52
uhap,10,20,1.601231,0.137676,0.000331,0.000821,0.13882799999999998,1.740059,52
uhap,10,21,1.604797,0.135222,0.00033,0.000782,0.136334,1.741131,52
uhap,10,22,1.616138,0.13417,0.00037,0.000802,0.13534200000000002,1.7514800000000001,52
uhap,10,23,1.626207,0.140381,0.00033,0.000882,0.141593,1.7678,52
uhap,10,24,1.625155,0.142776,0.000531,0.000801,0.14410799999999999,1.7692629999999998,52
uhap,10,25,1.613614,0.145551,0.00028,0.000852,0.146683,1.760297,52
uhap,10,26,1.630906,0.139299,0.000391,0.000771,0.140461,1.771367,52
uhap,10,27,1.664969,0.137536,0.000271,0.000851,0.13865799999999998,1.8036269999999999,52
uhap,10,28,1.617451,0.137766,0.00028,0.000842,0.138888,1.756339,52
